# core	sample	build	run	oracle	sha256	console	note
cm33	tests/kernel/events/event_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	28e2bbcd72fe9d5ce9ca70cc3e448a3d80d0992f9c8c91e26ffc58380fba8fe9	console/cm33-tests-kernel-events-event_api.txt	-
cm33	tests/kernel/fifo/fifo_timeout	OK	PASS	PROJECT EXECUTION SUCCESSFUL	0b8bddb89de87ef3cf80a4e50ae0fcaae9bd30179bb80d5de2e1d0c07e9084da	console/cm33-tests-kernel-fifo-fifo_timeout.txt	-
cm33	tests/kernel/lifo/lifo_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	f92a8583b69f70cfbd36373c88e4e734d1ae563df09fbcacbefe937603069bdc	console/cm33-tests-kernel-lifo-lifo_api.txt	-
cm33	tests/kernel/mbox/mbox_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	9d85b81199f0b44bb024a1e907192a72efe936885b05711e868acb2f99117c5d	console/cm33-tests-kernel-mbox-mbox_api.txt	-
cm33	tests/kernel/mem_heap/k_heap_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	5cf7c586dcdac209f7cb52378b980686e7c37cba658cea27783eac1b34e7528c	console/cm33-tests-kernel-mem_heap-k_heap_api.txt	-
cm33	tests/kernel/mem_slab/mslab_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	4094abe2e95a95f9bf625c41f5c4737c1e1ab19adacb4f5821b7ada0273cc001	console/cm33-tests-kernel-mem_slab-mslab_api.txt	-
cm33	tests/kernel/msgq/msgq_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	2ba501402ad90d5a916445b93a69dc2e12b6d72222ee21f54b4e90b2904c3a13	console/cm33-tests-kernel-msgq-msgq_api.txt	-
cm33	tests/kernel/sleep	OK	PASS	PROJECT EXECUTION SUCCESSFUL	a85650d923b768842bb357cfc38d6a1c7f4acc8a999b3233313b61de5c268b15	console/cm33-tests-kernel-sleep.txt	-
cm33	tests/kernel/threads/thread_stack	OK	PASS	PROJECT EXECUTION SUCCESSFUL	b1cb941a9958c62d5b946cfeec94277d8376725bd15f91d47552fed36cb32f4f	console/cm33-tests-kernel-threads-thread_stack.txt	-
cm33	tests/kernel/timer/timer_monotonic	OK	PASS	PROJECT EXECUTION SUCCESSFUL	f09888c278b6430726253efbd748cca937295961f7029e37e02799b8b1309a31	console/cm33-tests-kernel-timer-timer_monotonic.txt	-
cm33	tests/kernel/mutex/mutex_error_case	OK	PASS	PROJECT EXECUTION SUCCESSFUL	a74667fd246ead4fdd5228e0564a1e267a7da8e2254c410569d0a80d82f1779a	console/cm33-tests-kernel-mutex-mutex_error_case.txt	-
cm33	tests/kernel/mem_protect/stackprot	OK	PASS	PROJECT EXECUTION SUCCESSFUL	b7f83d1a138c6d303696da2f5d2f100b6b974ca1b6a59adef1880e24444888d9	console/cm33-tests-kernel-mem_protect-stackprot.txt	-
cm33	tests/kernel/threads/thread_apis	OK	PASS	PROJECT EXECUTION SUCCESSFUL	690186e1b5de159d2437c1fd7f5ffe7d07243668e6695b73c7dd93e589ab2f47	console/cm33-tests-kernel-threads-thread_apis.txt	-
cm33	tests/kernel/sched/schedule_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	556f96cd581813ca08a98b8a220bd88dba285091845a7c4958dcd068337c26b3	console/cm33-tests-kernel-sched-schedule_api.txt	-
cm33	tests/kernel/mutex/mutex_api	OK	PASS	PROJECT EXECUTION SUCCESSFUL	5af2b0c860876a4d69818c733dac2cf5cd91941ccc121c55f5fd32381f7c46da	console/cm33-tests-kernel-mutex-mutex_api.txt	-
cm33	tests/arch/arm/arm_interrupt	OK	FAIL	PROJECT EXECUTION SUCCESSFUL	0d3a81fcc42417f0518033f4e096ca303b6d7b4d7fe50d5ce946943019cc2ca4	console/cm33-tests-arch-arm-arm_interrupt.txt	Wrong crash type got 16384 expected 3
cm33	tests/arch/arm/arm_thread_swap	OK	FAIL	PROJECT EXECUTION SUCCESSFUL	2378465d1d670cd6c211895d0404e07d57426ebce1934d3e3e9ddfc2e1672b0d	console/cm33-tests-arch-arm-arm_thread_swap.txt	E: Halting system
cm33	tests/arch/arm/arm_hardfault_validation	OK	PASS	PROJECT EXECUTION SUCCESSFUL	fa22fe851af42798fd5cbe87c8278e7731b7a9d3f6f2659bd92984d7adfb86a4	console/cm33-tests-arch-arm-arm_hardfault_validation.txt	-
cm33	tests/arch/arm/arm_irq_advanced_features	OK	PASS	PROJECT EXECUTION SUCCESSFUL	69e7d3e4dcd0ef931798a4ccadf3ecc3a627dd174a544057841e936c60d339df	console/cm33-tests-arch-arm-arm_irq_advanced_features.txt	-
cm33	tests/arch/arm/arm_mpu_wt	OK	FAIL	PROJECT EXECUTION SUCCESSFUL	b127841a1b11b3ab626ec096807a32f2b1cd19cba5a8725efa27fdf53354e0e5	console/cm33-tests-arch-arm-arm_mpu_wt.txt	PROJECT EXECUTION FAILED
cm33	tests/kernel/mem_protect/protection	OK	PASS	PROJECT EXECUTION SUCCESSFUL	5526920966e66c9f422bd519944bb731b350cb829df904d18a3cf161bc97911e	console/cm33-tests-kernel-mem_protect-protection.txt	-
cm33	tests/lib/cmsis_nn	OK	PASS	PROJECT EXECUTION SUCCESSFUL	f3f51685e41caac1d2722f549430ebb8bec84b34c6dfc2b867b47b03c387896b	console/cm33-tests-lib-cmsis_nn.txt	-
cm33	tests/lib/cobs	OK	PASS	PROJECT EXECUTION SUCCESSFUL	5279b74fb08713bc19a0de46492bc5a847de47a8de0b232bd4bea7270c64a373	console/cm33-tests-lib-cobs.txt	-
cm33	tests/lib/fdtable	OK	PASS	PROJECT EXECUTION SUCCESSFUL	7780bdec5343ace7bb4868b1c3181b59ad0c8b8975dcb5a97683c0fb3acc0295	console/cm33-tests-lib-fdtable.txt	-
cm33	tests/lib/hash_function	OK	PASS	PROJECT EXECUTION SUCCESSFUL	16aca25bd5cda147f5849d88d4c2281770d479b454f95f6b02db45c8bed8d256	console/cm33-tests-lib-hash_function.txt	-
cm33	tests/lib/hash_map	OK	PASS	PROJECT EXECUTION SUCCESSFUL	c781957be8673bee5b1ab0bc5f48cf17644a854592b7c7ea4551df629a9cc99f	console/cm33-tests-lib-hash_map.txt	-
cm33	tests/lib/heap	OK	PASS	PROJECT EXECUTION SUCCESSFUL	122801cd688b565fbfa92188da6fc321e037cbb62c9abeaddea48f18f6058409	console/cm33-tests-lib-heap.txt	-
cm33	tests/lib/heap_align	OK	PASS	PROJECT EXECUTION SUCCESSFUL	66e5dd776b00d194f741559a0497f4c6cc82f7b6958a7d2d646507d0109c8c64	console/cm33-tests-lib-heap_align.txt	-
cm33	tests/lib/heap_min	OK	PASS	PROJECT EXECUTION SUCCESSFUL	fb6e3abb9524fdaf1d773e646d93ec2054715f364fbfd33e651ddadf9a4e0976	console/cm33-tests-lib-heap_min.txt	-
cm33	tests/lib/json	OK	PASS	PROJECT EXECUTION SUCCESSFUL	b23a65db58e28ccafdbde8291e63cedf0f726d9bfc08c6861474bcfba30812c6	console/cm33-tests-lib-json.txt	-
cm33	tests/lib/linear_range	OK	PASS	PROJECT EXECUTION SUCCESSFUL	6c67aae3b557b17ac3c32d419022e784cc6108c985bfcb9ba03f2f1b1f22e721	console/cm33-tests-lib-linear_range.txt	-
cm33	tests/lib/cbprintf_fp	OK	PASS	Complete	045b7bb8ae611e6511c2d905f2c463ef03668fab303bf6f0181361daf17a9c29	console/cm33-tests-lib-cbprintf_fp.txt	-
